Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00044,C00776,"P00210,P00241,P00276",02/03/2025,MK
INV00045,C00396,"P00333,P00008,P00192,P00513",30/01/2024,TKO
INV00046,C01238,"P00383,P00480,P00270,P00216,P00148,P00484",30/08/2025,CYB
INV00047,C01297,"P00202,P00285,P00046,P00188,P00274",29/06/2024,MK
INV00048,C00171,"P00121,P00417,P00007,P00312",26/11/2024,ST
INV00049,C00459,"P00326,P00364",24/12/2025,MK
INV00050,C00650,"P00175,P00355,P00017",26/07/2025,CYB
INV00051,C00251,"P00348,P00026,P00042,P00087,P00228",21/12/2024,MK
INV00052,C00452,"P00455,P00268,P00526",13/01/2025,TKO
INV00053,C00771,"P00484,P00329",06/05/2024,ST
INV00054,C01482,"P00383,P00480,P00270,P00216,P00494",07/03/2025,TKO
INV00055,C01451,"P00147,P00360,P00213,P00516,P00329",22/04/2025,CYB
INV00056,C00432,"P00532,P00102",27/07/2024,ST
INV00057,C00758,"P00514,P00238,P00155,P00532",22/11/2024,CYB
INV00058,C00828,"P00406,P00421,P00239,P00179",07/02/2025,MK
INV00059,C01228,"P00169,P00355,P00193,P00127",02/10/2025,ST
INV00060,C00333,"P00383,P00480,P00270,P00216",25/10/2024,MK
INV00061,C01396,P00413,18/11/2025,TKO
INV00062,C00537,"P00529,P00394,P00045,P00130,P00043",21/03/2025,ST
INV00063,C00303,"P00383,P00480,P00270,P00216,P00321",03/01/2025,TKO
INV00064,C01468,"P00234,P00251",29/01/2024,MK
INV00065,C00283,"P00101,P00035",30/08/2024,CYB
INV00066,C01088,"P00540,P00274",11/09/2025,TKO
INV00067,C00335,"P00164,P00090",29/10/2025,ST
INV00068,C00652,"P00383,P00480,P00270,P00216",30/05/2025,MK
INV00069,C00820,"P00383,P00480,P00270,P00216,P00301,P00241",22/01/2025,CYB
INV00070,C01089,"P00072,P00187,P00008",02/01/2025,CYB
INV00071,C01396,"P00541,P00070,P00313,P00253",26/01/2024,ST
INV00072,C00816,"P00284,P00478,P00098,P00101",31/05/2024,MK
INV00073,C00062,"P00491,P00344,P00283,P00183",28/01/2024,MK
INV00074,C01298,"P00392,P00526,P00190,P00528,P00433",03/09/2024,MK
INV00075,C00737,"P00383,P00480,P00270,P00216,P00263",21/05/2024,CYB
INV00076,C00105,"P00466,P00217,P00454,P00435,P00166",14/11/2025,TKO
INV00077,C00037,"P00480,P00210,P00133",21/01/2025,ST
INV00078,C01255,"P00318,P00288,P00135,P00130",03/01/2025,CYB
INV00079,C00262,"P00341,P00440,P00358",01/04/2024,ST
INV00080,C00359,"P00383,P00480,P00270,P00216,P00426,P00359",26/12/2025,MK
INV00081,C00470,"P00151,P00420,P00483,P00276,P00355",05/11/2024,ST
INV00082,C01493,"P00244,P00206,P00452,P00274,P00245",13/09/2024,MK
INV00083,C01328,P00183,26/09/2024,CYB
INV00084,C00944,P00506,22/11/2025,CYB
INV00085,C00342,"P00383,P00480,P00270,P00216,P00058,P00066",11/08/2024,CYB
INV00086,C00171,"P00383,P00480,P00270,P00216",05/12/2025,ST
INV00087,C00686,P00100,20/01/2025,CYB
INV00088,C00196,"P00383,P00480,P00270,P00216,P00415",20/03/2025,CYB
INV00089,C01226,"P00052,P00408",16/09/2024,CYB
INV00090,C00760,"P00482,P00078,P00221,P00028,P00532",28/03/2025,MK
INV00091,C00529,"P00410,P00059,P00422",18/01/2025,CYB
INV00092,C00758,"P00409,P00022,P00208",18/03/2024,MK
INV00093,C00648,"P00038,P00460,P00057,P00154",07/06/2024,TKO
INV00094,C00172,"P00383,P00480,P00270,P00216",07/11/2025,CYB
INV00095,C00060,"P00491,P00096,P00528",09/02/2024,CYB
INV00096,C00914,"P00305,P00171,P00279",30/11/2025,ST
INV00097,C01197,"P00380,P00026,P00269,P00311,P00080",03/12/2025,MK
INV00098,C00539,"P00458,P00340,P00323,P00143,P00415",02/02/2025,MK
INV00099,C00402,P00242,06/02/2024,ST
INV00100,C01276,"P00383,P00480,P00270,P00216,P00091",26/03/2024,MK
INV00101,C00001,"P00383,P00480,P00270,P00216,P00502,P00412",23/11/2024,CYB
INV00102,C01023,"P00200,P00288,P00186,P00303",22/04/2025,MK
INV00103,C00472,"P00527,P00192,P00310,P00465,P00327",14/12/2025,TKO
INV00104,C01114,"P00404,P00313,P00485,P00033,P00542",24/09/2025,CYB
INV00105,C00287,"P00263,P00233",02/12/2024,MK
INV00106,C01123,P00513,16/05/2024,TKO
INV00107,C00749,"P00013,P00078",28/05/2025,TKO
INV00108,C00088,"P00540,P00057,P00121,P00386",01/04/2025,MK
INV00109,C01167,"P00097,P00165,P00387,P00229",01/12/2024,MK
INV00110,C00637,"P00456,P00361,P00327,P00077,P00433",17/09/2024,TKO
INV00111,C00275,P00438,09/04/2024,MK
INV00112,C00984,"P00217,P00511",20/04/2024,MK
INV00113,C01030,"P00195,P00061,P00292",11/12/2025,MK
INV00114,C01238,"P00368,P00302,P00242",13/03/2025,MK
INV00115,C01169,"P00287,P00455,P00005,P00529",02/11/2024,CYB
INV00116,C00881,"P00381,P00050,P00007,P00091",08/10/2024,MK
INV00117,C01140,"P00497,P00267,P00498,P00162",11/05/2024,MK
INV00118,C00339,"P00066,P00360,P00043",29/09/2025,MK
INV00119,C00406,"P00156,P00499,P00130,P00403,P00145",28/10/2025,CYB
INV00120,C01167,"P00334,P00542",09/08/2025,CYB
INV00121,C01026,"P00383,P00480,P00270,P00216",19/04/2024,ST
INV00122,C00708,"P00383,P00480,P00270,P00216",15/04/2024,CYB
INV00123,C00090,"P00259,P00538,P00469",29/05/2025,MK
INV00124,C00533,"P00383,P00480,P00270,P00216",01/08/2025,TKO
INV00125,C00606,P00346,26/03/2024,MK
INV00126,C00915,"P00383,P00480,P00270,P00216,P00394,P00483",12/09/2025,ST
INV00127,C00698,"P00289,P00107,P00412,P00100",25/11/2024,ST
INV00128,C01492,"P00015,P00209,P00296,P00512,P00387",17/07/2024,MK
INV00129,C01499,"P00383,P00480,P00270,P00216,P00521",24/05/2025,MK
INV00130,C00644,"P00430,P00243,P00348,P00079,P00304",25/08/2025,MK
INV00131,C01073,"P00320,P00089,P00494",06/08/2024,MK
INV00132,C01263,"P00522,P00133,P00012",29/12/2025,MK
INV00133,C00888,"P00040,P00049",20/05/2024,MK
INV00134,C01435,"P00049,P00052,P00064",23/06/2024,ST
INV00135,C01194,"P00383,P00480,P00270,P00216,P00159",12/02/2025,MK
INV00136,C01296,"P00383,P00480,P00270,P00216,P00370,P00394",12/11/2025,CYB
INV00137,C01486,"P00458,P00330",30/06/2024,CYB
INV00138,C00283,"P00476,P00485,P00217,P00517",30/12/2024,MK
INV00139,C00097,"P00383,P00480,P00270,P00216,P00493,P00366",09/09/2025,CYB
INV00140,C00426,"P00052,P00093,P00409,P00292",22/07/2024,ST
INV00141,C01170,"P00444,P00393",18/07/2024,ST
INV00142,C00363,"P00359,P00096,P00503",04/10/2024,MK
INV00143,C00238,"P00020,P00169",27/04/2024,CYB
INV00144,C00110,"P00074,P00397,P00548",08/03/2025,TKO
INV00145,C00298,"P00055,P00258,P00395",13/11/2025,MK
INV00146,C00137,"P00383,P00480,P00270,P00216",06/07/2025,MK
INV00147,C00597,"P00478,P00294,P00293,P00455,P00020",21/02/2024,TKO
INV00148,C01005,"P00208,P00150,P00492",09/01/2024,CYB
INV00149,C01003,"P00383,P00480,P00270,P00216",27/08/2024,CYB
INV00150,C00128,"P00298,P00276,P00168",29/05/2025,ST
INV00151,C00542,"P00471,P00522,P00359,P00257",16/02/2025,CYB
INV00152,C00254,"P00040,P00534,P00028",26/12/2024,MK
INV00153,C01376,"P00393,P00064,P00491,P00396",20/12/2024,MK
INV00154,C01284,"P00549,P00293,P00250",06/12/2025,MK
INV00155,C00527,"P00500,P00325,P00131",02/10/2025,MK
INV00156,C00608,"P00338,P00386,P00194",30/05/2024,CYB
INV00157,C00087,"P00131,P00439",09/02/2025,CYB
INV00158,C00005,"P00378,P00042,P00293",02/06/2025,ST
INV00159,C00642,"P00244,P00288",02/09/2024,MK
INV00160,C00059,P00162,15/04/2024,CYB
INV00161,C00380,"P00479,P00212,P00041,P00330",09/12/2025,ST
INV00162,C00428,P00113,16/10/2024,TKO
INV00163,C01280,"P00184,P00257,P00433,P00274",12/06/2025,ST
INV00164,C01304,P00501,17/02/2025,MK
INV00165,C00088,"P00467,P00118,P00347,P00006,P00144",09/03/2025,TKO
INV00166,C01488,"P00068,P00173,P00364,P00236,P00049",08/05/2024,CYB
INV00167,C00110,"P00514,P00149,P00239,P00544",11/02/2024,TKO
INV00168,C00089,"P00383,P00480,P00270,P00216",24/08/2024,CYB
INV00169,C01045,P00530,13/09/2025,MK
INV00170,C00711,"P00497,P00358,P00219,P00006",08/01/2024,CYB
INV00171,C00046,"P00422,P00469,P00352,P00407",21/09/2025,TKO
INV00172,C01344,"P00193,P00293,P00471",29/09/2024,CYB
INV00173,C00562,"P00085,P00202,P00049,P00512,P00078",15/06/2024,MK
INV00174,C00283,"P00383,P00480,P00270,P00216",12/08/2025,MK
INV00175,C01428,"P00383,P00480,P00270,P00216,P00351",01/09/2025,ST
INV00176,C00328,"P00467,P00531",27/01/2025,TKO
INV00177,C00331,P00213,27/05/2024,TKO
INV00178,C00849,"P00214,P00080",03/08/2025,TKO
INV00179,C01138,P00007,20/11/2025,ST
INV00180,C00590,"P00163,P00444,P00374",09/09/2024,TKO
INV00181,C01017,P00116,16/04/2025,ST
INV00182,C00480,"P00383,P00480,P00270,P00216",18/12/2024,ST
INV00183,C00652,"P00015,P00001,P00240,P00156,P00427",29/03/2024,MK
INV00184,C00311,"P00436,P00369,P00018",11/04/2025,CYB
INV00185,C00561,"P00383,P00480,P00270,P00216",09/05/2025,ST
INV00186,C01495,"P00531,P00537,P00302",17/12/2024,MK
INV00187,C00031,"P00383,P00480,P00270,P00216",15/10/2025,MK
INV00188,C01170,"P00185,P00118,P00044,P00546",02/09/2024,MK
INV00189,C00320,"P00383,P00443,P00162,P00182",03/06/2024,MK
INV00190,C00906,"P00415,P00497,P00214,P00211,P00065",27/07/2024,ST
INV00191,C00720,"P00383,P00480,P00270,P00216",08/05/2025,ST
INV00192,C00720,"P00428,P00363,P00368",17/03/2024,MK
INV00193,C00195,"P00463,P00097,P00408,P00251",28/03/2024,ST
INV00194,C01209,"P00383,P00480,P00270,P00216",25/03/2025,ST
INV00195,C00933,"P00383,P00480,P00270,P00216",15/08/2025,MK
INV00196,C00400,"P00436,P00523",12/06/2025,MK
INV00197,C00350,"P00406,P00297,P00543,P00480",08/09/2024,MK
INV00198,C00807,"P00423,P00295,P00191,P00061",27/04/2024,CYB
INV00199,C00768,P00258,24/03/2025,TKO
INV00200,C01244,"P00457,P00537,P00112,P00069",11/11/2024,MK
INV00201,C01439,"P00383,P00480,P00270,P00216,P00384",14/01/2024,CYB
INV00202,C00536,P00420,16/01/2024,CYB
INV00203,C00515,"P00065,P00293,P00085,P00549,P00356",30/10/2025,ST
INV00204,C00005,"P00027,P00258",28/01/2024,ST
INV00205,C00437,"P00383,P00480,P00270,P00216",15/07/2025,CYB
INV00206,C01272,"P00242,P00150,P00516",31/05/2025,MK
INV00207,C00716,"P00383,P00480,P00270,P00216",29/06/2024,ST
INV00208,C00600,"P00033,P00271,P00539,P00273",03/12/2025,CYB
INV00209,C00360,"P00464,P00243,P00052",28/01/2025,CYB
INV00210,C00435,"P00399,P00414",11/07/2025,ST
INV00211,C00896,"P00185,P00319",22/12/2025,ST
INV00212,C01354,"P00459,P00246,P00013",08/05/2024,MK
INV00213,C01452,"P00241,P00274,P00029,P00092",10/06/2025,CYB
INV00214,C00968,"P00383,P00480,P00270,P00216",05/04/2024,CYB
INV00215,C00322,"P00338,P00428",12/05/2025,CYB
INV00216,C00378,"P00295,P00289,P00446,P00168,P00268",09/02/2024,CYB
INV00217,C00268,"P00383,P00480,P00270,P00216,P00247",15/07/2025,CYB
INV00218,C01112,"P00383,P00480,P00270,P00216,P00363,P00221",31/01/2025,TKO
INV00219,C00676,"P00383,P00480,P00270,P00216",04/01/2024,TKO
INV00220,C01086,"P00123,P00543,P00132",18/02/2025,TKO
INV00221,C00933,"P00373,P00139,P00483,P00042,P00459",20/06/2024,CYB
INV00222,C01132,"P00478,P00268,P00417,P00098",29/10/2025,MK
INV00223,C00748,P00429,19/02/2025,ST
INV00224,C01342,"P00182,P00265,P00359,P00049,P00086",27/05/2025,TKO
INV00225,C01172,"P00378,P00395",19/02/2024,CYB
INV00226,C00912,"P00383,P00480,P00270,P00216,P00482,P00231",13/07/2024,CYB
INV00227,C01422,P00098,25/12/2024,TKO
INV00228,C00390,"P00076,P00391,P00473,P00230,P00225",28/10/2025,ST
INV00229,C00319,"P00360,P00033,P00355,P00117,P00107",21/08/2024,TKO
INV00230,C00770,"P00383,P00480,P00270,P00216",23/07/2024,CYB
INV00231,C00855,"P00366,P00491",09/03/2025,CYB
INV00232,C00720,"P00118,P00159",14/07/2024,CYB
INV00233,C00450,"P00383,P00480,P00270,P00216",15/01/2025,TKO
INV00234,C00107,"P00383,P00480,P00270,P00216",15/01/2024,CYB
INV00235,C00993,"P00036,P00479,P00245,P00254,P00486",10/11/2025,MK
INV00236,C00707,"P00443,P00191,P00380,P00424",03/06/2024,MK
INV00237,C00451,"P00383,P00480,P00270,P00216",05/11/2024,CYB
INV00238,C00030,P00484,15/09/2024,CYB
INV00239,C00792,P00060,06/03/2024,CYB
INV00240,C01414,"P00008,P00259,P00450,P00489",07/01/2025,ST
INV00241,C00533,"P00481,P00251,P00096,P00460,P00130",05/11/2025,TKO
INV00242,C01272,"P00512,P00145,P00115,P00445,P00099",22/01/2025,ST
INV00243,C01171,"P00367,P00033",28/10/2024,MK
INV00244,C00464,"P00530,P00487,P00449",19/11/2024,ST
INV00245,C00071,"P00383,P00480,P00270,P00216,P00217,P00473",12/03/2024,ST
INV00246,C00605,"P00485,P00234,P00313,P00455,P00047",24/06/2024,CYB
INV00247,C00801,"P00283,P00203,P00448",23/09/2024,CYB
INV00248,C00129,"P00383,P00480,P00270,P00216,P00469,P00238",14/05/2025,CYB
INV00249,C00019,"P00446,P00358,P00204",07/08/2025,CYB
INV00250,C01481,"P00009,P00150,P00240",28/01/2024,TKO
INV00251,C00324,"P00195,P00091,P00464",20/02/2024,CYB
INV00252,C00457,"P00383,P00480,P00270,P00216,P00324,P00300",26/03/2025,CYB
INV00253,C01269,"P00338,P00301,P00098",09/08/2025,ST
INV00254,C00923,"P00116,P00094,P00055,P00283",22/02/2024,ST
INV00255,C00289,"P00405,P00490,P00310,P00158,P00090",21/02/2024,MK
INV00256,C01325,"P00282,P00026,P00288,P00454",18/05/2025,ST
INV00257,C00195,"P00383,P00480,P00270,P00216,P00237,P00134",04/02/2025,TKO
INV00258,C00158,"P00237,P00090,P00374,P00072",03/05/2024,MK
INV00259,C00762,"P00340,P00474,P00499",23/12/2025,MK
INV00260,C01163,"P00430,P00155,P00323",11/07/2024,TKO
INV00261,C01030,"P00383,P00480,P00270,P00216,P00302,P00545",05/04/2025,ST
INV00262,C01145,"P00184,P00509,P00140",21/08/2025,ST
INV00263,C00095,"P00383,P00480,P00270,P00216",13/08/2024,CYB
INV00264,C00535,"P00060,P00540,P00365,P00286",10/10/2024,MK
INV00265,C00704,"P00447,P00416,P00099,P00208",07/07/2024,CYB
INV00266,C00885,"P00464,P00339",15/08/2024,CYB
INV00267,C01396,"P00250,P00430,P00419",15/04/2025,TKO
INV00268,C00018,P00153,06/10/2025,TKO
INV00269,C00734,P00026,21/11/2024,TKO
INV00270,C01470,"P00197,P00521,P00369",17/07/2024,MK
INV00271,C00949,"P00390,P00375",05/04/2024,MK
INV00272,C01287,"P00049,P00210",23/07/2025,TKO
INV00273,C01115,"P00108,P00530",27/12/2025,MK
INV00274,C01305,"P00033,P00224,P00341",21/05/2025,MK
INV00275,C01493,"P00441,P00397,P00111",24/01/2024,MK
INV00276,C00357,P00516,10/01/2025,CYB
INV00277,C00044,"P00388,P00199",04/02/2025,CYB
INV00278,C00442,P00199,11/01/2025,MK
INV00279,C00670,"P00294,P00315,P00169",05/10/2025,TKO
INV00280,C01021,"P00056,P00429,P00491,P00036,P00522",07/03/2025,ST
INV00281,C00857,"P00483,P00270,P00503,P00112",21/05/2025,ST
INV00282,C01186,P00252,30/11/2024,CYB
INV00283,C01198,P00021,30/05/2024,TKO
INV00284,C01269,"P00145,P00442,P00473,P00108,P00034",07/05/2025,MK
INV00285,C00150,"P00090,P00401,P00361",18/05/2024,ST
INV00286,C00278,"P00110,P00214",17/12/2024,MK
INV00287,C01334,"P00383,P00480,P00270,P00216,P00156",09/04/2025,MK
INV00288,C00449,"P00383,P00480,P00270,P00216",01/04/2025,ST
INV00289,C00495,"P00171,P00292,P00092,P00201",16/02/2024,CYB
INV00290,C01405,"P00273,P00440,P00180,P00007",01/09/2024,CYB
INV00291,C01212,"P00548,P00344,P00048,P00026",26/10/2025,TKO
INV00292,C00399,"P00479,P00300,P00179",26/05/2024,ST
INV00293,C00626,"P00216,P00498",09/06/2025,ST
INV00294,C01258,"P00099,P00471,P00133",06/11/2024,CYB
INV00295,C00384,"P00102,P00205,P00023",16/09/2025,ST
INV00296,C01168,"P00024,P00092,P00356",07/12/2024,MK
INV00297,C01149,"P00383,P00480,P00270,P00216,P00511,P00104",15/02/2024,CYB
INV00298,C01099,"P00383,P00480,P00270,P00216",09/02/2024,TKO
INV00299,C00976,"P00496,P00263,P00213,P00124",03/10/2025,CYB
INV00300,C01176,"P00383,P00480,P00270,P00216,P00346",31/07/2025,TKO
INV00301,C00526,"P00257,P00218,P00222,P00165,P00158",04/11/2025,MK
INV00302,C00584,P00327,15/09/2024,TKO
INV00303,C01252,"P00383,P00480,P00270,P00216,P00231,P00327",13/09/2025,TKO
INV00304,C00985,P00215,07/01/2024,MK
INV00305,C00127,"P00295,P00046,P00175,P00303",05/01/2025,TKO
INV00306,C00598,"P00044,P00374",12/05/2025,MK
INV00307,C00722,"P00517,P00422",07/12/2025,MK
INV00308,C00436,"P00408,P00135,P00519,P00134,P00114",22/05/2025,CYB
INV00309,C01167,"P00491,P00045",28/04/2025,TKO
INV00310,C01409,"P00383,P00480,P00270,P00216",07/06/2024,TKO
INV00311,C01309,"P00214,P00318,P00229,P00375",30/11/2025,MK
INV00312,C00541,"P00462,P00501,P00405",28/11/2024,MK
INV00313,C01181,"P00077,P00314,P00424,P00434,P00372",16/10/2025,ST
INV00314,C00794,"P00388,P00324,P00517,P00095,P00228",22/10/2025,MK
INV00315,C00529,"P00201,P00514,P00070,P00081,P00205",03/05/2025,MK
INV00316,C00238,"P00485,P00167,P00400",20/06/2024,CYB
INV00317,C00618,"P00343,P00320,P00455,P00156,P00099",26/10/2024,MK
INV00318,C01477,"P00438,P00163",20/12/2025,CYB
INV00319,C00906,"P00346,P00014,P00208",18/07/2025,MK
INV00320,C01027,"P00400,P00399,P00467,P00312,P00119",05/07/2025,TKO
INV00321,C01477,"P00079,P00522",25/04/2024,MK
INV00322,C01253,P00439,27/06/2025,CYB
INV00323,C01110,"P00383,P00480,P00270,P00216,P00349,P00246",17/12/2025,TKO
INV00324,C00026,"P00410,P00445,P00176,P00037,P00154",24/08/2025,CYB
INV00325,C00401,"P00383,P00480,P00270,P00216",05/11/2025,ST
INV00326,C00222,"P00331,P00402,P00171,P00068",28/05/2025,TKO
INV00327,C00585,"P00467,P00044,P00428,P00456",28/07/2024,ST
INV00328,C00429,"P00509,P00020,P00097,P00279",08/06/2025,CYB
INV00329,C00719,"P00377,P00536",23/04/2025,CYB
INV00330,C01073,"P00325,P00419",08/06/2025,MK
INV00331,C00750,"P00326,P00413,P00057",27/08/2025,CYB
INV00332,C00309,"P00419,P00113,P00252",24/06/2024,CYB
INV00333,C00021,"P00307,P00465,P00470",13/05/2024,CYB
INV00334,C00843,"P00383,P00480,P00270,P00216",13/09/2024,MK
INV00335,C00240,"P00383,P00480,P00270,P00216",23/08/2025,TKO
INV00336,C00469,"P00269,P00327",24/07/2024,MK
INV00337,C01500,P00418,01/04/2024,TKO
INV00338,C00831,"P00437,P00441",18/09/2025,TKO
INV00339,C00139,"P00013,P00256,P00466",05/03/2025,ST
INV00340,C00881,"P00085,P00365",19/09/2024,CYB
INV00341,C00656,"P00419,P00130",27/07/2024,CYB
INV00342,C00505,"P00048,P00450,P00245",11/11/2024,TKO
INV00343,C01322,"P00161,P00498",02/02/2025,MK
INV00344,C00840,"P00383,P00480,P00270,P00216,P00238,P00178",01/08/2024,MK
INV00345,C00128,"P00225,P00050,P00230,P00322",27/10/2025,MK
INV00346,C00477,"P00179,P00217",18/12/2025,TKO
INV00347,C00873,P00421,07/11/2024,ST
INV00348,C01439,"P00080,P00096,P00328,P00246,P00053",11/07/2025,CYB
INV00349,C00456,"P00159,P00246,P00150",24/09/2025,MK
INV00350,C01050,"P00122,P00146",24/02/2025,TKO
INV00351,C01480,"P00445,P00174,P00446",29/02/2024,CYB
INV00352,C00524,"P00339,P00418,P00146,P00486",07/01/2025,MK
INV00353,C00827,"P00434,P00205,P00081,P00386,P00078",21/02/2025,CYB
INV00354,C01180,"P00383,P00480,P00270,P00216,P00078",14/02/2024,ST
INV00355,C00117,"P00383,P00480,P00270,P00216,P00239",15/12/2024,CYB
INV00356,C00289,"P00245,P00415,P00420,P00168",05/02/2025,MK
INV00357,C00426,"P00308,P00356,P00116,P00186",30/11/2025,CYB
INV00358,C01000,"P00383,P00480,P00270,P00216,P00135",25/04/2024,CYB
INV00359,C00458,"P00176,P00459,P00237,P00183,P00096",08/07/2025,ST
INV00360,C01229,P00240,18/10/2024,MK
INV00361,C01327,"P00383,P00480,P00270,P00216,P00364,P00488",03/08/2025,MK
INV00362,C00225,"P00452,P00140,P00480,P00286",20/07/2025,TKO
INV00363,C00055,"P00462,P00317,P00436",18/07/2025,MK
INV00364,C00248,"P00015,P00359,P00376,P00366",11/08/2025,TKO
INV00365,C00218,P00207,01/03/2024,ST
INV00366,C00193,P00324,18/06/2024,CYB
INV00367,C00375,P00404,16/02/2024,MK
INV00368,C00641,"P00403,P00089,P00056,P00398,P00164",15/11/2025,MK
INV00369,C00517,"P00199,P00087",09/05/2025,TKO
INV00370,C00633,"P00383,P00480,P00270,P00216,P00157,P00521",08/10/2024,TKO
INV00371,C01200,"P00383,P00480,P00270,P00216",18/05/2024,MK
INV00372,C01073,"P00382,P00084,P00489,P00546",24/01/2025,CYB
INV00373,C00713,"P00455,P00206,P00174,P00507,P00035",23/11/2024,CYB
INV00374,C00357,P00105,05/05/2024,CYB
INV00375,C01110,"P00383,P00480,P00270,P00216,P00176",10/10/2024,CYB
INV00376,C00666,"P00008,P00337,P00283,P00544,P00057",05/08/2025,CYB
INV00377,C00603,"P00445,P00468,P00233",15/04/2024,CYB
INV00378,C01496,P00105,12/07/2024,MK
INV00379,C00075,P00112,07/12/2024,CYB
INV00380,C01073,"P00539,P00379",07/09/2024,ST
INV00381,C01094,"P00523,P00272",08/07/2024,TKO
INV00382,C00870,"P00042,P00377,P00491,P00499,P00068",09/06/2024,TKO
INV00383,C00365,"P00413,P00404",18/03/2024,TKO
INV00384,C00799,"P00201,P00388,P00176,P00458",23/02/2025,MK
INV00385,C00041,"P00384,P00023,P00510,P00013,P00294",24/05/2025,CYB
INV00386,C00039,"P00232,P00161,P00170,P00259,P00194",02/10/2024,ST
INV00387,C00649,"P00158,P00053,P00391,P00044",18/01/2025,CYB
INV00388,C00031,"P00383,P00480,P00270,P00216,P00543",05/07/2025,MK
INV00389,C00097,"P00383,P00480,P00270,P00216,P00340,P00296",27/12/2025,ST
INV00390,C01183,"P00233,P00137",05/08/2024,MK
INV00391,C00962,"P00216,P00467,P00001",02/11/2025,CYB
INV00392,C00925,"P00383,P00480,P00270,P00216",11/10/2024,ST
INV00393,C00708,"P00213,P00032",09/03/2025,TKO
INV00394,C01314,"P00459,P00316,P00495,P00357,P00519",18/07/2024,ST
INV00395,C00926,P00150,29/07/2025,ST
INV00396,C01383,"P00270,P00332",08/11/2025,ST
INV00397,C01048,"P00383,P00480,P00270,P00216,P00537",31/05/2024,CYB
INV00398,C01022,"P00307,P00160,P00295,P00351,P00022",24/12/2025,TKO
INV00399,C00487,"P00383,P00480,P00270,P00216",07/05/2024,TKO
INV00400,C00170,"P00231,P00526,P00217,P00177,P00280",27/01/2024,ST
INV00401,C00560,P00074,17/12/2024,TKO
INV00402,C01373,"P00535,P00094,P00213,P00229,P00503",05/12/2025,CYB
INV00403,C00148,P00013,16/04/2024,MK
INV00404,C00428,P00060,19/01/2025,CYB
INV00405,C00165,"P00349,P00252,P00449",03/08/2025,TKO
INV00406,C00496,"P00139,P00017,P00350,P00071",19/08/2024,CYB
INV00407,C00641,"P00383,P00480,P00270,P00216",16/03/2024,TKO
