Invoice no,Customer id,Invoice date,Shopping mall,Product id,Category,Price,Gender,Age,Payment method
INV00017,C00211,2024-08-04,MK,P00480,Groceries,74.67,M,59,Mobile Payment
INV00017,C00211,2024-08-04,MK,P00270,Groceries,83.92,M,59,Mobile Payment
INV00017,C00211,2024-08-04,MK,P00216,Groceries,133.4,M,59,Mobile Payment
INV00017,C00211,2024-08-04,MK,P00362,Electronics,2624.39,M,59,Mobile Payment
INV00018,C00221,2025-12-27,TKO,P00020,Books,113.63,M,68,Cash
INV00019,C00523,2024-11-28,ST,P00514,Clothing,250.82,M,63,Mobile Payment
INV00019,C00523,2024-11-28,ST,P00094,Toys,28.33,M,63,Mobile Payment
INV00019,C00523,2024-11-28,ST,P00474,Groceries,154.7,M,63,Mobile Payment
INV00019,C00523,2024-11-28,ST,P00277,Electronics,2183.54,M,63,Mobile Payment
INV00020,C00072,2025-04-02,ST,P00535,Books,70.89,F,59,Mobile Payment
INV00020,C00072,2025-04-02,ST,P00214,Groceries,162.43,F,59,Mobile Payment
INV00020,C00072,2025-04-02,ST,P00524,Books,61.48,F,59,Mobile Payment
INV00020,C00072,2025-04-02,ST,P00278,Groceries,142.15,F,59,Mobile Payment
INV00021,C01294,2025-06-16,MK,P00211,Groceries,59.13,F,65,Cash
INV00021,C01294,2025-06-16,MK,P00109,Clothing,535.27,F,65,Cash
INV00021,C01294,2025-06-16,MK,P00481,Groceries,109.92,F,65,Cash
INV00021,C01294,2025-06-16,MK,P00297,Clothing,470.98,F,65,Cash
INV00022,C00990,2025-08-18,ST,P00505,Clothing,519.23,M,38,Credit Card
INV00022,C00990,2025-08-18,ST,P00245,Clothing,421.5,M,38,Credit Card
INV00022,C00990,2025-08-18,ST,P00259,Groceries,154.08,M,38,Credit Card
INV00022,C00990,2025-08-18,ST,P00458,Toys,34.09,M,38,Credit Card
INV00022,C00990,2025-08-18,ST,P00367,Groceries,136.88,M,38,Credit Card
INV00023,C00868,2024-12-24,ST,P00151,Clothing,533.5,F,71,Cash
INV00023,C00868,2024-12-24,ST,P00187,Toys,56.44,F,71,Cash
INV00023,C00868,2024-12-24,ST,P00257,Groceries,51.3,F,71,Cash
INV00024,C00676,2024-12-14,CYB,P00443,Electronics,2310.42,M,42,Cash
INV00024,C00676,2024-12-14,CYB,P00129,Toys,34.02,M,42,Cash
INV00025,C00177,2024-02-10,ST,P00383,Groceries,87.52,M,17,Mobile Payment
INV00025,C00177,2024-02-10,ST,P00480,Groceries,74.67,M,17,Mobile Payment
INV00025,C00177,2024-02-10,ST,P00270,Groceries,83.92,M,17,Mobile Payment
INV00025,C00177,2024-02-10,ST,P00216,Groceries,133.4,M,17,Mobile Payment
INV00026,C00742,2024-09-10,MK,P00288,Toys,40.88,F,65,Credit Card
INV00026,C00742,2024-09-10,MK,P00085,Electronics,2170.5,F,65,Credit Card
INV00026,C00742,2024-09-10,MK,P00482,Toys,24.17,F,65,Credit Card
INV00026,C00742,2024-09-10,MK,P00207,Clothing,309.04,F,65,Credit Card
INV00026,C00742,2024-09-10,MK,P00397,Books,76.65,F,65,Credit Card
INV00027,C01206,2024-09-10,TKO,P00383,Groceries,87.52,M,36,Mobile Payment
INV00027,C01206,2024-09-10,TKO,P00480,Groceries,74.67,M,36,Mobile Payment
INV00027,C01206,2024-09-10,TKO,P00270,Groceries,83.92,M,36,Mobile Payment
INV00027,C01206,2024-09-10,TKO,P00216,Groceries,133.4,M,36,Mobile Payment
INV00027,C01206,2024-09-10,TKO,P00346,Electronics,3457.95,M,36,Mobile Payment
INV00028,C00391,2025-03-12,MK,P00086,Clothing,555.93,M,19,Credit Card
INV00028,C00391,2025-03-12,MK,P00297,Clothing,470.98,M,19,Credit Card
INV00028,C00391,2025-03-12,MK,P00416,Books,73.09,M,19,Credit Card
INV00028,C00391,2025-03-12,MK,P00119,Books,63.26,M,19,Credit Card
INV00029,C00523,2025-09-27,CYB,P00471,Groceries,53.2,M,63,Mobile Payment
INV00029,C00523,2025-09-27,CYB,P00120,Toys,51.01,M,63,Mobile Payment
INV00030,C01003,2024-06-02,ST,P00383,Groceries,87.52,F,50,Credit Card
INV00030,C01003,2024-06-02,ST,P00480,Groceries,74.67,F,50,Credit Card
INV00030,C01003,2024-06-02,ST,P00270,Groceries,83.92,F,50,Credit Card
INV00030,C01003,2024-06-02,ST,P00216,Groceries,133.4,F,50,Credit Card
INV00031,C00877,2024-07-07,CYB,P00383,Groceries,87.52,F,27,Credit Card
INV00031,C00877,2024-07-07,CYB,P00480,Groceries,74.67,F,27,Credit Card
INV00031,C00877,2024-07-07,CYB,P00270,Groceries,83.92,F,27,Credit Card
INV00031,C00877,2024-07-07,CYB,P00216,Groceries,133.4,F,27,Credit Card
INV00031,C00877,2024-07-07,CYB,P00153,Books,124.59,F,27,Credit Card
INV00031,C00877,2024-07-07,CYB,P00290,Electronics,2419.59,F,27,Credit Card
INV00032,C00878,2025-05-30,CYB,P00103,Books,87.04,M,68,Mobile Payment
INV00032,C00878,2025-05-30,CYB,P00028,Books,110.78,M,68,Mobile Payment
INV00032,C00878,2025-05-30,CYB,P00378,Electronics,3491.41,M,68,Mobile Payment
INV00032,C00878,2025-05-30,CYB,P00431,Clothing,326.98,M,68,Mobile Payment
INV00032,C00878,2025-05-30,CYB,P00237,Groceries,130.02,M,68,Mobile Payment
INV00033,C00367,2025-12-03,TKO,P00375,Groceries,143.6,M,55,Credit Card
INV00033,C00367,2025-12-03,TKO,P00195,Books,106.66,M,55,Credit Card
INV00033,C00367,2025-12-03,TKO,P00206,Toys,59.78,M,55,Credit Card
INV00033,C00367,2025-12-03,TKO,P00540,Groceries,140.75,M,55,Credit Card
INV00034,C00269,2025-12-05,MK,P00361,Electronics,4110.11,M,58,Credit Card
INV00035,C00899,2024-06-19,MK,P00181,Groceries,131.41,M,22,Mobile Payment
INV00035,C00899,2024-06-19,MK,P00082,Toys,70.79,M,22,Mobile Payment
INV00035,C00899,2024-06-19,MK,P00248,Toys,56.14,M,22,Mobile Payment
INV00035,C00899,2024-06-19,MK,P00078,Books,109.48,M,22,Mobile Payment
INV00036,C01355,2025-07-08,CYB,P00307,Clothing,365.96,M,47,Credit Card
INV00036,C01355,2025-07-08,CYB,P00294,Clothing,129.45,M,47,Credit Card
INV00036,C01355,2025-07-08,CYB,P00188,Books,128.21,M,47,Credit Card
INV00036,C01355,2025-07-08,CYB,P00020,Books,113.63,M,47,Credit Card
INV00036,C01355,2025-07-08,CYB,P00387,Toys,42.62,M,47,Credit Card
INV00037,C00883,2025-05-21,TKO,P00446,Groceries,66.6,M,39,Credit Card
INV00037,C00883,2025-05-21,TKO,P00295,Books,110.29,M,39,Credit Card
INV00038,C01371,2024-02-18,ST,P00531,Clothing,422.24,F,40,Cash
INV00038,C01371,2024-02-18,ST,P00074,Groceries,174.84,F,40,Cash
INV00038,C01371,2024-02-18,ST,P00509,Clothing,588.2,F,40,Cash
INV00038,C01371,2024-02-18,ST,P00297,Clothing,470.98,F,40,Cash
INV00038,C01371,2024-02-18,ST,P00410,Clothing,526.57,F,40,Cash
INV00039,C00066,2024-08-10,CYB,P00383,Groceries,87.52,M,27,Cash
INV00039,C00066,2024-08-10,CYB,P00480,Groceries,74.67,M,27,Cash
INV00039,C00066,2024-08-10,CYB,P00270,Groceries,83.92,M,27,Cash
INV00039,C00066,2024-08-10,CYB,P00216,Groceries,133.4,M,27,Cash
INV00040,C00878,2024-12-22,MK,P00147,Electronics,3017.57,M,68,Mobile Payment
INV00040,C00878,2024-12-22,MK,P00219,Electronics,3996.33,M,68,Mobile Payment
INV00040,C00878,2024-12-22,MK,P00003,Books,135.7,M,68,Mobile Payment
INV00041,C00590,2024-11-19,MK,P00205,Groceries,55.44,F,33,Credit Card
INV00041,C00590,2024-11-19,MK,P00143,Groceries,121.4,F,33,Credit Card
INV00041,C00590,2024-11-19,MK,P00077,Clothing,272.29,F,33,Credit Card
INV00042,C00988,2024-07-04,TKO,P00038,Groceries,99.18,F,64,Cash
INV00042,C00988,2024-07-04,TKO,P00327,Toys,60.38,F,64,Cash
INV00042,C00988,2024-07-04,TKO,P00226,Groceries,56.73,F,64,Cash
INV00042,C00988,2024-07-04,TKO,P00496,Groceries,158.91,F,64,Cash
INV00042,C00988,2024-07-04,TKO,P00100,Groceries,90.62,F,64,Cash
INV00043,C00601,2025-04-10,MK,P00383,Groceries,87.52,M,28,Credit Card
INV00043,C00601,2025-04-10,MK,P00480,Groceries,74.67,M,28,Credit Card
INV00043,C00601,2025-04-10,MK,P00270,Groceries,83.92,M,28,Credit Card
INV00043,C00601,2025-04-10,MK,P00216,Groceries,133.4,M,28,Credit Card
INV00043,C00601,2025-04-10,MK,P00309,Toys,41.03,M,28,Credit Card
INV00044,C00776,2025-03-02,MK,P00210,Clothing,158.5,F,70,Credit Card
INV00044,C00776,2025-03-02,MK,P00241,Books,105.78,F,70,Credit Card
INV00044,C00776,2025-03-02,MK,P00276,Toys,51.82,F,70,Credit Card
INV00045,C00396,2024-01-30,TKO,P00333,Groceries,141.68,F,20,Cash
INV00045,C00396,2024-01-30,TKO,P00008,Groceries,163.31,F,20,Cash
INV00045,C00396,2024-01-30,TKO,P00192,Books,68.33,F,20,Cash
INV00045,C00396,2024-01-30,TKO,P00513,Clothing,273.47,F,20,Cash
INV00046,C01238,2025-08-30,CYB,P00383,Groceries,87.52,M,19,Mobile Payment
INV00046,C01238,2025-08-30,CYB,P00480,Groceries,74.67,M,19,Mobile Payment
INV00046,C01238,2025-08-30,CYB,P00270,Groceries,83.92,M,19,Mobile Payment
INV00046,C01238,2025-08-30,CYB,P00216,Groceries,133.4,M,19,Mobile Payment
INV00046,C01238,2025-08-30,CYB,P00148,Books,97.11,M,19,Mobile Payment
INV00046,C01238,2025-08-30,CYB,P00484,Books,121.17,M,19,Mobile Payment
INV00047,C01297,2024-06-29,MK,P00202,Books,119.58,M,37,Credit Card
INV00047,C01297,2024-06-29,MK,P00285,Clothing,294.64,M,37,Credit Card
INV00047,C01297,2024-06-29,MK,P00046,Clothing,296.19,M,37,Credit Card
INV00047,C01297,2024-06-29,MK,P00188,Books,128.21,M,37,Credit Card
INV00047,C01297,2024-06-29,MK,P00274,Clothing,134.23,M,37,Credit Card
INV00048,C00171,2024-11-26,ST,P00121,Electronics,2484.03,M,43,Credit Card
INV00048,C00171,2024-11-26,ST,P00417,Toys,27.72,M,43,Credit Card
INV00048,C00171,2024-11-26,ST,P00007,Books,127.32,M,43,Credit Card
INV00048,C00171,2024-11-26,ST,P00312,Books,140.83,M,43,Credit Card
INV00049,C00459,2025-12-24,MK,P00326,Books,123.49,F,18,Cash
INV00049,C00459,2025-12-24,MK,P00364,Books,91.15,F,18,Cash
INV00050,C00650,2025-07-26,CYB,P00175,Toys,64.97,F,20,Credit Card
INV00050,C00650,2025-07-26,CYB,P00355,Clothing,243.81,F,20,Credit Card
INV00050,C00650,2025-07-26,CYB,P00017,Groceries,81.79,F,20,Credit Card
INV00051,C00251,2024-12-21,MK,P00348,Groceries,141.53,F,65,Credit Card
INV00051,C00251,2024-12-21,MK,P00026,Electronics,885.22,F,65,Credit Card
INV00051,C00251,2024-12-21,MK,P00042,Clothing,379.68,F,65,Credit Card
INV00051,C00251,2024-12-21,MK,P00087,Electronics,3907.27,F,65,Credit Card
INV00051,C00251,2024-12-21,MK,P00228,Groceries,129.09,F,65,Credit Card
INV00052,C00452,2025-01-13,TKO,P00455,Electronics,1385.55,M,48,Mobile Payment
INV00052,C00452,2025-01-13,TKO,P00268,Electronics,4046.74,M,48,Mobile Payment
INV00052,C00452,2025-01-13,TKO,P00526,Groceries,84.39,M,48,Mobile Payment
INV00053,C00771,2024-05-06,ST,P00484,Books,121.17,F,36,Credit Card
INV00053,C00771,2024-05-06,ST,P00329,Clothing,185.84,F,36,Credit Card
INV00054,C01482,2025-03-07,TKO,P00383,Groceries,87.52,F,66,Credit Card
INV00054,C01482,2025-03-07,TKO,P00480,Groceries,74.67,F,66,Credit Card
INV00054,C01482,2025-03-07,TKO,P00270,Groceries,83.92,F,66,Credit Card
INV00054,C01482,2025-03-07,TKO,P00216,Groceries,133.4,F,66,Credit Card
INV00054,C01482,2025-03-07,TKO,P00494,Clothing,429.83,F,66,Credit Card
INV00055,C01451,2025-04-22,CYB,P00147,Electronics,3017.57,M,41,Mobile Payment
INV00055,C01451,2025-04-22,CYB,P00360,Electronics,2542.25,M,41,Mobile Payment
INV00055,C01451,2025-04-22,CYB,P00213,Clothing,421.44,M,41,Mobile Payment
INV00055,C01451,2025-04-22,CYB,P00516,Electronics,3209.54,M,41,Mobile Payment
INV00055,C01451,2025-04-22,CYB,P00329,Clothing,185.84,M,41,Mobile Payment
INV00056,C00432,2024-07-27,ST,P00532,Books,107.24,M,60,Credit Card
INV00056,C00432,2024-07-27,ST,P00102,Toys,77.82,M,60,Credit Card
INV00057,C00758,2024-11-22,CYB,P00514,Clothing,250.82,F,68,Mobile Payment
INV00057,C00758,2024-11-22,CYB,P00238,Groceries,87.97,F,68,Mobile Payment
INV00057,C00758,2024-11-22,CYB,P00155,Electronics,2620.26,F,68,Mobile Payment
INV00057,C00758,2024-11-22,CYB,P00532,Books,107.24,F,68,Mobile Payment
INV00058,C00828,2025-02-07,MK,P00406,Groceries,42.81,M,53,Mobile Payment
INV00058,C00828,2025-02-07,MK,P00421,Electronics,850.67,M,53,Mobile Payment
INV00058,C00828,2025-02-07,MK,P00239,Electronics,3878.29,M,53,Mobile Payment
INV00058,C00828,2025-02-07,MK,P00179,Toys,74.31,M,53,Mobile Payment
INV00059,C01228,2025-10-02,ST,P00169,Clothing,307.31,F,72,Mobile Payment
INV00059,C01228,2025-10-02,ST,P00355,Clothing,243.81,F,72,Mobile Payment
INV00059,C01228,2025-10-02,ST,P00193,Books,128.96,F,72,Mobile Payment
INV00059,C01228,2025-10-02,ST,P00127,Groceries,64.0,F,72,Mobile Payment
INV00060,C00333,2024-10-25,MK,P00383,Groceries,87.52,M,39,Credit Card
INV00060,C00333,2024-10-25,MK,P00480,Groceries,74.67,M,39,Credit Card
INV00060,C00333,2024-10-25,MK,P00270,Groceries,83.92,M,39,Credit Card
INV00060,C00333,2024-10-25,MK,P00216,Groceries,133.4,M,39,Credit Card
INV00061,C01396,2025-11-18,TKO,P00413,Clothing,328.28,M,49,Mobile Payment
INV00062,C00537,2025-03-21,ST,P00529,Electronics,3448.84,M,72,Credit Card
INV00062,C00537,2025-03-21,ST,P00394,Groceries,157.98,M,72,Credit Card
INV00062,C00537,2025-03-21,ST,P00045,Clothing,614.87,M,72,Credit Card
INV00062,C00537,2025-03-21,ST,P00130,Electronics,2681.71,M,72,Credit Card
INV00062,C00537,2025-03-21,ST,P00043,Toys,58.04,M,72,Credit Card
INV00063,C00303,2025-01-03,TKO,P00383,Groceries,87.52,M,64,Credit Card
INV00063,C00303,2025-01-03,TKO,P00480,Groceries,74.67,M,64,Credit Card
INV00063,C00303,2025-01-03,TKO,P00270,Groceries,83.92,M,64,Credit Card
INV00063,C00303,2025-01-03,TKO,P00216,Groceries,133.4,M,64,Credit Card
INV00063,C00303,2025-01-03,TKO,P00321,Electronics,1119.04,M,64,Credit Card
INV00064,C01468,2024-01-29,MK,P00234,Clothing,262.94,M,72,Credit Card
INV00064,C01468,2024-01-29,MK,P00251,Electronics,2399.52,M,72,Credit Card
INV00065,C00283,2024-08-30,CYB,P00101,Toys,35.4,M,23,Credit Card
INV00065,C00283,2024-08-30,CYB,P00035,Electronics,1543.32,M,23,Credit Card
INV00066,C01088,2025-09-11,TKO,P00540,Groceries,140.75,M,76,Mobile Payment
INV00066,C01088,2025-09-11,TKO,P00274,Clothing,134.23,M,76,Mobile Payment
INV00067,C00335,2025-10-29,ST,P00164,Groceries,139.66,M,61,Cash
INV00067,C00335,2025-10-29,ST,P00090,Books,89.99,M,61,Cash
INV00068,C00652,2025-05-30,MK,P00383,Groceries,87.52,F,77,Cash
INV00068,C00652,2025-05-30,MK,P00480,Groceries,74.67,F,77,Cash
INV00068,C00652,2025-05-30,MK,P00270,Groceries,83.92,F,77,Cash
INV00068,C00652,2025-05-30,MK,P00216,Groceries,133.4,F,77,Cash
INV00069,C00820,2025-01-22,CYB,P00383,Groceries,87.52,F,26,Credit Card
INV00069,C00820,2025-01-22,CYB,P00480,Groceries,74.67,F,26,Credit Card
INV00069,C00820,2025-01-22,CYB,P00270,Groceries,83.92,F,26,Credit Card
INV00069,C00820,2025-01-22,CYB,P00216,Groceries,133.4,F,26,Credit Card
INV00069,C00820,2025-01-22,CYB,P00301,Groceries,60.22,F,26,Credit Card
INV00069,C00820,2025-01-22,CYB,P00241,Books,105.78,F,26,Credit Card
INV00070,C01089,2025-01-02,CYB,P00072,Books,65.32,F,61,Cash
INV00070,C01089,2025-01-02,CYB,P00187,Toys,56.44,F,61,Cash
INV00070,C01089,2025-01-02,CYB,P00008,Groceries,163.31,F,61,Cash
INV00071,C01396,2024-01-26,ST,P00541,Books,114.06,M,49,Mobile Payment
INV00071,C01396,2024-01-26,ST,P00070,Toys,34.44,M,49,Mobile Payment
INV00071,C01396,2024-01-26,ST,P00313,Toys,62.32,M,49,Mobile Payment
INV00071,C01396,2024-01-26,ST,P00253,Groceries,100.81,M,49,Mobile Payment
INV00072,C00816,2024-05-31,MK,P00284,Toys,35.88,M,24,Mobile Payment
INV00072,C00816,2024-05-31,MK,P00478,Toys,58.18,M,24,Mobile Payment
INV00072,C00816,2024-05-31,MK,P00098,Books,118.95,M,24,Mobile Payment
INV00072,C00816,2024-05-31,MK,P00101,Toys,35.4,M,24,Mobile Payment
INV00073,C00062,2024-01-28,MK,P00491,Toys,48.25,M,24,Mobile Payment
INV00073,C00062,2024-01-28,MK,P00344,Toys,54.02,M,24,Mobile Payment
INV00073,C00062,2024-01-28,MK,P00283,Electronics,2092.53,M,24,Mobile Payment
INV00073,C00062,2024-01-28,MK,P00183,Toys,29.64,M,24,Mobile Payment
INV00074,C01298,2024-09-03,MK,P00392,Toys,79.41,F,45,Credit Card
INV00074,C01298,2024-09-03,MK,P00526,Groceries,84.39,F,45,Credit Card
INV00074,C01298,2024-09-03,MK,P00190,Groceries,51.38,F,45,Credit Card
INV00074,C01298,2024-09-03,MK,P00528,Electronics,1120.25,F,45,Credit Card
INV00074,C01298,2024-09-03,MK,P00433,Toys,64.47,F,45,Credit Card
INV00075,C00737,2024-05-21,CYB,P00383,Groceries,87.52,M,75,Cash
INV00075,C00737,2024-05-21,CYB,P00480,Groceries,74.67,M,75,Cash
INV00075,C00737,2024-05-21,CYB,P00270,Groceries,83.92,M,75,Cash
INV00075,C00737,2024-05-21,CYB,P00216,Groceries,133.4,M,75,Cash
INV00075,C00737,2024-05-21,CYB,P00263,Electronics,3076.51,M,75,Cash
INV00076,C00105,2025-11-14,TKO,P00466,Toys,47.29,M,17,Mobile Payment
INV00076,C00105,2025-11-14,TKO,P00217,Toys,82.61,M,17,Mobile Payment
INV00076,C00105,2025-11-14,TKO,P00454,Electronics,1841.5,M,17,Mobile Payment
INV00076,C00105,2025-11-14,TKO,P00435,Groceries,69.12,M,17,Mobile Payment
INV00076,C00105,2025-11-14,TKO,P00166,Electronics,3701.64,M,17,Mobile Payment
INV00077,C00037,2025-01-21,ST,P00480,Groceries,74.67,M,43,Mobile Payment
INV00077,C00037,2025-01-21,ST,P00210,Clothing,158.5,M,43,Mobile Payment
INV00077,C00037,2025-01-21,ST,P00133,Groceries,152.67,M,43,Mobile Payment
INV00078,C01255,2025-01-03,CYB,P00318,Books,123.4,M,42,Cash
INV00078,C01255,2025-01-03,CYB,P00288,Toys,40.88,M,42,Cash
INV00078,C01255,2025-01-03,CYB,P00135,Groceries,172.0,M,42,Cash
INV00078,C01255,2025-01-03,CYB,P00130,Electronics,2681.71,M,42,Cash
INV00079,C00262,2024-04-01,ST,P00341,Clothing,483.09,M,26,Credit Card
INV00079,C00262,2024-04-01,ST,P00440,Electronics,4116.54,M,26,Credit Card
INV00079,C00262,2024-04-01,ST,P00358,Toys,22.23,M,26,Credit Card
INV00080,C00359,2025-12-26,MK,P00383,Groceries,87.52,F,35,Cash
INV00080,C00359,2025-12-26,MK,P00480,Groceries,74.67,F,35,Cash
INV00080,C00359,2025-12-26,MK,P00270,Groceries,83.92,F,35,Cash
INV00080,C00359,2025-12-26,MK,P00216,Groceries,133.4,F,35,Cash
INV00080,C00359,2025-12-26,MK,P00426,Books,111.87,F,35,Cash
INV00080,C00359,2025-12-26,MK,P00359,Electronics,3079.95,F,35,Cash
INV00081,C00470,2024-11-05,ST,P00151,Clothing,533.5,M,56,Credit Card
INV00081,C00470,2024-11-05,ST,P00420,Clothing,365.37,M,56,Credit Card
INV00081,C00470,2024-11-05,ST,P00483,Toys,70.65,M,56,Credit Card
INV00081,C00470,2024-11-05,ST,P00276,Toys,51.82,M,56,Credit Card
INV00081,C00470,2024-11-05,ST,P00355,Clothing,243.81,M,56,Credit Card
INV00082,C01493,2024-09-13,MK,P00244,Clothing,502.8,M,53,Credit Card
INV00082,C01493,2024-09-13,MK,P00206,Toys,59.78,M,53,Credit Card
INV00082,C01493,2024-09-13,MK,P00452,Toys,59.9,M,53,Credit Card
INV00082,C01493,2024-09-13,MK,P00274,Clothing,134.23,M,53,Credit Card
INV00082,C01493,2024-09-13,MK,P00245,Clothing,421.5,M,53,Credit Card
INV00083,C01328,2024-09-26,CYB,P00183,Toys,29.64,M,61,Credit Card
INV00084,C00944,2025-11-22,CYB,P00506,Electronics,3454.94,F,37,Cash
INV00085,C00342,2024-08-11,CYB,P00383,Groceries,87.52,F,65,Credit Card
INV00085,C00342,2024-08-11,CYB,P00480,Groceries,74.67,F,65,Credit Card
INV00085,C00342,2024-08-11,CYB,P00270,Groceries,83.92,F,65,Credit Card
INV00085,C00342,2024-08-11,CYB,P00216,Groceries,133.4,F,65,Credit Card
INV00085,C00342,2024-08-11,CYB,P00058,Clothing,360.23,F,65,Credit Card
INV00085,C00342,2024-08-11,CYB,P00066,Electronics,2255.46,F,65,Credit Card
INV00086,C00171,2025-12-05,ST,P00383,Groceries,87.52,M,43,Credit Card
INV00086,C00171,2025-12-05,ST,P00480,Groceries,74.67,M,43,Credit Card
INV00086,C00171,2025-12-05,ST,P00270,Groceries,83.92,M,43,Credit Card
INV00086,C00171,2025-12-05,ST,P00216,Groceries,133.4,M,43,Credit Card
INV00087,C00686,2025-01-20,CYB,P00100,Groceries,90.62,F,18,Cash
INV00088,C00196,2025-03-20,CYB,P00383,Groceries,87.52,M,18,Credit Card
INV00088,C00196,2025-03-20,CYB,P00480,Groceries,74.67,M,18,Credit Card
INV00088,C00196,2025-03-20,CYB,P00270,Groceries,83.92,M,18,Credit Card
INV00088,C00196,2025-03-20,CYB,P00216,Groceries,133.4,M,18,Credit Card
INV00088,C00196,2025-03-20,CYB,P00415,Toys,62.77,M,18,Credit Card
INV00089,C01226,2024-09-16,CYB,P00052,Electronics,1902.56,F,46,Credit Card
INV00089,C01226,2024-09-16,CYB,P00408,Groceries,91.31,F,46,Credit Card
INV00090,C00760,2025-03-28,MK,P00482,Toys,24.17,M,27,Mobile Payment
INV00090,C00760,2025-03-28,MK,P00078,Books,109.48,M,27,Mobile Payment
INV00090,C00760,2025-03-28,MK,P00221,Clothing,509.31,M,27,Mobile Payment
INV00090,C00760,2025-03-28,MK,P00028,Books,110.78,M,27,Mobile Payment
INV00090,C00760,2025-03-28,MK,P00532,Books,107.24,M,27,Mobile Payment
INV00091,C00529,2025-01-18,CYB,P00410,Clothing,526.57,M,47,Mobile Payment
INV00091,C00529,2025-01-18,CYB,P00059,Electronics,3306.16,M,47,Mobile Payment
INV00091,C00529,2025-01-18,CYB,P00422,Toys,28.93,M,47,Mobile Payment
INV00092,C00758,2024-03-18,MK,P00409,Groceries,56.96,F,68,Mobile Payment
INV00092,C00758,2024-03-18,MK,P00022,Toys,68.11,F,68,Mobile Payment
INV00092,C00758,2024-03-18,MK,P00208,Electronics,2886.24,F,68,Mobile Payment
